State,Deployment,Order Id,billNumber,daySerial,Tab,tableNumber,Open Time,Close Time,Category Name,Item Name,Item Number,itemSection,Item Classification,Rate,Qty,Amount,Discount,discountType,discountRemarks,GST@5% Amount,GST@5%,GST@18% Amount,GST@18%,GST@3% Amount,GST@3%,netamt,customerName,customerMobile,Covers,Waiter Name,Source
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260201-0001,1,Delivery/Takeaway,,2026-02-01 14:38:00,2026-02-01 15:17:00,Coffee Classics,Americano - Regular,MENU0003,Beverage,Menu Item,185.0,1.0,185.0,3.5,Bill Discount,Synthetic promotion,181.5,9.07,0,0,0,0,190.57,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260201-0002,2,Delivery/Takeaway,,2026-02-01 16:06:00,2026-02-01 16:33:00,Coffee Classics,Americano - Medium,MENU0004,Beverage,Menu Item,210.0,1.0,210.0,4.19,Bill Discount,Synthetic promotion,205.81,10.29,0,0,0,0,216.1,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260201-0003,3,Dine In,T23,2026-02-01 11:13:00,2026-02-01 11:26:00,Coffee Classics,Latte - Medium,MENU0007,Beverage,Menu Item,250.0,3.0,750.0,38.8,Bill Discount,Synthetic promotion,711.2,35.56,0,0,0,0,746.76,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260201-0004,4,Delivery/Takeaway,,2026-02-01 18:04:00,2026-02-01 18:53:00,Coffee Classics,Flat White - Medium,MENU0013,Beverage,Menu Item,260.0,5.0,1300.0,71.56,Bill Discount,Synthetic promotion,1228.44,61.42,0,0,0,0,1289.86,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260201-0005,5,Dine In,T05,2026-02-01 09:44:00,2026-02-01 10:10:00,Coffee Classics,Flat White - Large,MENU0014,Beverage,Menu Item,285.0,2.0,570.0,0.36,Bill Discount,Synthetic promotion,569.64,28.48,0,0,0,0,598.12,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260201-0006,6,Delivery/Takeaway,,2026-02-01 18:06:00,2026-02-01 18:24:00,Coffee Classics,Mocha - Regular,MENU0015,Beverage,Menu Item,245.76,1.0,245.76,0.0,,,245.76,12.29,0,0,0,0,258.05,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260201-0007,7,Dine In,T08,2026-02-01 15:29:00,2026-02-01 16:06:00,Coffee Classics,Mocha - Large,MENU0017,Beverage,Menu Item,295.0,1.0,295.0,2.42,Bill Discount,Synthetic promotion,292.58,14.63,0,0,0,0,307.21,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260201-0008,8,Delivery/Takeaway,,2026-02-01 17:33:00,2026-02-01 17:49:00,Signature Coffee,Sea Salt Mocha - Regular,MENU0018,Beverage,Menu Item,275.0,3.0,825.0,46.61,Bill Discount,Synthetic promotion,778.39,38.92,0,0,0,0,817.31,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260201-0009,9,Delivery/Takeaway,,2026-02-01 18:08:00,2026-02-01 18:29:00,Signature Coffee,Sea Salt Mocha - Medium,MENU0019,Beverage,Menu Item,305.0,1.0,305.0,1.71,Bill Discount,Synthetic promotion,303.29,15.16,0,0,0,0,318.45,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260201-0010,10,Delivery/Takeaway,,2026-02-01 19:41:00,2026-02-01 20:00:00,Signature Coffee,Caramel Macchiato - Medium,MENU0025,Beverage,Menu Item,299.95,2.0,599.9,0.0,,,599.9,30.0,0,0,0,0,629.9,,,,,
