Store Name,Date,Bill No.,Tab Type,Source,Customer Name,Customer Number,Super Category,Category,SAC/HSN No.,SKU Code / Item No,SKU / Item Name,Item Rate,Item Qty,Item Subtotal,Offer,Discount Amount,Complimentary Amount,Total Discount,Net Sale Value,Tax Amount,Gross Sale Value,Purchase Rate,Purchase Value,Net Margin%,Gross Margin%
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0001,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0003,Americano - Regular,185.0,3.0,555.0,Synthetic promotion,21.15,0,21.15,533.85,26.69,560.54,23.21,69.63,86.96,87.58
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0002,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0004,Americano - Medium,210.0,2.0,420.0,Synthetic promotion,24.89,0,24.89,395.11,19.76,414.87,26.05,52.1,86.81,87.44
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0003,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0005,Americano - Large,235.0,1.0,235.0,Synthetic promotion,13.34,0,13.34,221.66,11.08,232.74,28.91,28.91,86.96,87.58
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0004,Delivery/Takeaway,Online,,,Beverage,Coffee Classics,996331,MENU0006,Latte - Regular,225.0,4.0,900.0,Synthetic promotion,42.03,0,42.03,857.97,42.9,900.87,36.17,144.68,83.14,83.94
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0005,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0007,Latte - Medium,254.3,2.0,508.6,,0.0,0,0.0,508.6,25.43,534.03,40.96,81.92,83.89,84.66
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0006,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0008,Latte - Large,275.0,1.0,275.0,Synthetic promotion,8.07,0,8.07,266.93,13.35,280.28,45.76,45.76,82.86,83.67
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0007,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0009,Cappuccino - Regular,227.94,1.0,227.94,,0.0,0,0.0,227.94,11.4,239.34,36.17,36.17,84.13,84.89
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0008,Delivery/Takeaway,Online,,,Beverage,Coffee Classics,996331,MENU0010,Cappuccino - Medium,250.6,2.0,501.2,,0.0,0,0.0,501.2,25.06,526.26,40.96,81.92,83.66,84.43
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0009,Delivery/Takeaway,Online,,,Beverage,Coffee Classics,996331,MENU0011,Cappuccino - Large,275.0,1.0,275.0,Synthetic promotion,10.81,0,10.81,264.19,13.21,277.4,45.76,45.76,82.68,83.5
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0010,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0012,Flat White - Regular,235.0,3.0,705.0,Synthetic promotion,41.83,0,41.83,663.17,33.16,696.33,36.17,108.51,83.64,84.42
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0011,Dine In,Dine In,,,Beverage,Coffee Classics,996331,MENU0013,Flat White - Medium,261.6,2.0,523.2,,0.0,0,0.0,523.2,26.16,549.36,40.96,81.92,84.34,85.09
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0012,Delivery/Takeaway,Online,Guest 3353,9000003353,Beverage,Coffee Classics,996331,MENU0014,Flat White - Large,285.0,1.0,285.0,Synthetic promotion,2.3,0,2.3,282.7,14.13,296.83,45.76,45.76,83.81,84.58
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0013,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0015,Mocha - Regular,245.0,2.0,490.0,Synthetic promotion,12.26,0,12.26,477.74,23.89,501.63,42.67,85.34,82.14,82.99
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0014,Delivery/Takeaway,Takeaway,,,Beverage,Coffee Classics,996331,MENU0016,Mocha - Medium,270.0,1.0,270.0,Synthetic promotion,1.34,0,1.34,268.66,13.43,282.09,48.42,48.42,81.98,82.84
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0015,Dine In,Dine In,,,Beverage,Signature Coffee,996331,MENU0018,Sea Salt Mocha - Regular,275.0,3.0,825.0,Synthetic promotion,8.68,0,8.68,816.32,40.82,857.14,42.67,128.01,84.32,85.07
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0016,Delivery/Takeaway,Online,,,Beverage,Signature Coffee,996331,MENU0019,Sea Salt Mocha - Medium,305.0,1.0,305.0,Synthetic promotion,14.12,0,14.12,290.88,14.54,305.42,48.42,48.42,83.35,84.15
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0017,Delivery/Takeaway,Online,,,Beverage,Signature Coffee,996331,MENU0021,Orange Zest Mocha - Regular,270.0,1.0,270.0,Synthetic promotion,5.67,0,5.67,264.33,13.22,277.55,42.67,42.67,83.86,84.63
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0018,Delivery/Takeaway,Online,,,Beverage,Signature Coffee,996331,MENU0022,Orange Zest Mocha - Medium,301.21,3.0,903.63,,0.0,0,0.0,903.64,45.18,948.82,48.42,145.26,83.93,84.69
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0019,Delivery/Takeaway,Online,,,Beverage,Signature Coffee,996331,MENU0023,Orange Zest Mocha - Large,330.0,1.0,330.0,Synthetic promotion,9.86,0,9.86,320.14,16.01,336.15,54.21,54.21,83.07,83.87
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0020,Dine In,Dine In,,,Beverage,Signature Coffee,996331,MENU0025,Caramel Macchiato - Medium,300.72,1.0,300.72,,0.0,0,0.0,300.72,15.04,315.76,48.13,48.13,84.0,84.76
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0021,Delivery/Takeaway,Online,Guest 0794,9000000794,Beverage,Signature Coffee,996331,MENU0027,French Vanilla Latte - Regular,265.0,1.0,265.0,Synthetic promotion,13.78,0,13.78,251.22,12.56,263.78,42.17,42.17,83.21,84.01
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0022,Delivery/Takeaway,Online,,,Beverage,Signature Coffee,996331,MENU0030,Vegan Iced Latte - Regular,285.0,1.0,285.0,Synthetic promotion,7.67,0,7.67,277.33,13.87,291.2,58.9,58.9,78.76,79.77
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0023,Delivery/Takeaway,Online,Guest 6185,9000006185,Beverage,Cold Brew,996331,MENU0034,Classic Cold Brew - Medium,250.0,2.0,500.0,Synthetic promotion,17.92,0,17.92,482.08,24.1,506.18,28.66,57.32,88.11,88.68
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0024,Delivery/Takeaway,Takeaway,,,Beverage,Cold Brew,996331,MENU0037,Coffee Lemonade - Medium,263.07,1.0,263.07,,0.0,0,0.0,263.07,13.15,276.22,33.09,33.09,87.42,88.02
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0025,Delivery/Takeaway,Takeaway,,,Beverage,Cold Brew,996331,MENU0039,Vietnamese Shakerato - Regular,255.0,1.0,255.0,Synthetic promotion,0.78,0,0.78,254.22,12.71,266.93,25.6,25.6,89.93,90.41
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0026,Delivery/Takeaway,Online,Guest 3544,9000003544,Beverage,Cold Brew,996331,MENU0040,Vietnamese Shakerato - Medium,280.0,3.0,840.0,Synthetic promotion,30.7,0,30.7,809.3,40.47,849.77,28.66,85.98,89.38,89.88
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0027,Delivery/Takeaway,Takeaway,,,Beverage,Cold Coffee,996331,MENU0042,Classic Cold Coffee - Regular,255.0,2.0,510.0,Synthetic promotion,0.26,0,0.26,509.74,25.49,535.23,38.56,77.12,84.87,85.59
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0028,Delivery/Takeaway,Takeaway,,,Beverage,Cold Coffee,996331,MENU0043,Classic Cold Coffee - Medium,290.0,1.0,290.0,Synthetic promotion,11.68,0,11.68,278.32,13.92,292.24,43.56,43.56,84.35,85.09
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0029,Delivery/Takeaway,Online,Guest 8644,9000008644,Beverage,Cold Coffee,996331,MENU0044,Classic Cold Coffee - Large,325.0,1.0,325.0,Synthetic promotion,9.33,0,9.33,315.67,15.78,331.45,48.58,48.58,84.61,85.34
ABNAH Cafe Hauz Khas,2026-03-01,BILL-OUT002-260301-0030,Delivery/Takeaway,Online,,,Beverage,Cold Coffee,996331,MENU0045,Mocha Cold Coffee - Regular,285.0,3.0,855.0,Synthetic promotion,49.3,0,49.3,805.7,40.28,845.98,45.06,135.18,83.22,84.02
