State,Deployment,Order Id,billNumber,daySerial,Tab,tableNumber,Open Time,Close Time,Category Name,Item Name,Item Number,itemSection,Item Classification,Rate,Qty,Amount,Discount,discountType,discountRemarks,GST@5% Amount,GST@5%,GST@18% Amount,GST@18%,GST@3% Amount,GST@3%,netamt,customerName,customerMobile,Covers,Waiter Name,Source
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260101-0001,1,Delivery/Takeaway,,2026-01-01 14:56:00,2026-01-01 15:11:00,Coffee Classics,Americano - Regular,MENU0003,Beverage,Menu Item,185.0,5.0,925.0,9.53,Bill Discount,Synthetic promotion,915.47,45.77,0,0,0,0,961.24,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260101-0002,2,Delivery/Takeaway,,2026-01-01 15:34:00,2026-01-01 16:04:00,Coffee Classics,Americano - Medium,MENU0004,Beverage,Menu Item,210.0,4.0,840.0,9.77,Bill Discount,Synthetic promotion,830.23,41.51,0,0,0,0,871.74,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260101-0003,3,Delivery/Takeaway,,2026-01-01 17:28:00,2026-01-01 18:10:00,Coffee Classics,Americano - Large,MENU0005,Beverage,Menu Item,235.0,1.0,235.0,11.36,Bill Discount,Synthetic promotion,223.64,11.18,0,0,0,0,234.82,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260101-0004,4,Dine In,T13,2026-01-01 09:18:00,2026-01-01 09:53:00,Coffee Classics,Latte - Regular,MENU0006,Beverage,Menu Item,229.12,3.0,687.36,0.0,,,687.36,34.37,0,0,0,0,721.73,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260101-0005,5,Dine In,T04,2026-01-01 14:42:00,2026-01-01 14:53:00,Coffee Classics,Latte - Medium,MENU0007,Beverage,Menu Item,250.0,1.0,250.0,2.52,Bill Discount,Synthetic promotion,247.48,12.37,0,0,0,0,259.85,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260101-0006,6,Dine In,T13,2026-01-01 09:53:00,2026-01-01 10:08:00,Coffee Classics,Latte - Large,MENU0008,Beverage,Menu Item,279.91,3.0,839.73,0.0,,,839.74,41.99,0,0,0,0,881.73,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260101-0007,7,Dine In,T05,2026-01-01 16:34:00,2026-01-01 16:49:00,Coffee Classics,Cappuccino - Regular,MENU0009,Beverage,Menu Item,226.02,3.0,678.06,0.01,Bill Discount,Synthetic promotion,678.05,33.9,0,0,0,0,711.95,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260101-0008,8,Delivery/Takeaway,,2026-01-01 13:36:00,2026-01-01 14:22:00,Coffee Classics,Cappuccino - Medium,MENU0010,Beverage,Menu Item,250.0,4.0,1000.0,43.36,Bill Discount,Synthetic promotion,956.64,47.83,0,0,0,0,1004.47,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260101-0009,9,Delivery/Takeaway,,2026-01-01 17:54:00,2026-01-01 18:36:00,Coffee Classics,Flat White - Regular,MENU0012,Beverage,Menu Item,235.0,4.0,940.0,18.47,Bill Discount,Synthetic promotion,921.53,46.08,0,0,0,0,967.61,,,,,
Delhi,ABNAH Cafe Connaught Place,,BILL-OUT001-260101-0010,10,Dine In,T11,2026-01-01 19:40:00,2026-01-01 20:29:00,Coffee Classics,Flat White - Medium,MENU0013,Beverage,Menu Item,263.68,2.0,527.36,0.0,,,527.36,26.37,0,0,0,0,553.73,,,,,
